hostname,st_spectype
11 Com,G8 III
11 UMi,K4 III
14 And,K0 III
14 Her,K0V
16 Cyg B,G3 V
17 Sco,K3 III
18 Del,G6 III
1RXS J160929.1-210524,K7 V
24 Boo,G3 IV
24 Sex,K0 IV
24 Sex,K0 IV
2MASS J04372171+2651014,M V
2MASS J01033563-5515561 A,M5.5/M6
2MASS J01225093-2439505,M3.5 V
2MASS J02192210-3925225,M6
2MASS J0249-0557 A,M6 V
2MASS J03590986+2009361,M4.75
2MASS J04414489+2301513,M8.5
2MASS J11011926-7732383,M7+M8
2MASS J11550485-7919108,M3
2MASS J12073346-3932539,M8
2MASS J19383260+4603591,sdB+dM
2MASS J21252752-8138278,M1Ve
2MASS J22362452+4751425,K7 V
2MASS J22501512+2325342,M3
4 UMa,K1 III
47 UMa,G0V
47 UMa,G0V
47 UMa,G0V
51 Eri,F0 IV
51 Peg,G5V
55 Cnc B,M4.5 V
55 Cnc B,M4.5 V
55 Cnc,G8 V
55 Cnc,G8 V
55 Cnc,G8 V
55 Cnc,G8 V
55 Cnc,G8 V
6 Lyn,K0 IV
61 Vir,G5 V
61 Vir,G5 V
61 Vir,G5 V
7 CMa,K1III(+M)
7 CMa,K1III(+M)
70 Vir,G5V
75 Cet,G3 III
75 Cet,G3 III
8 UMi,K0
81 Cet,G5 III
91 Aqr,K0 III
AB Aur,A0Ve
AB Pic,K2 V
AF Lep,F8
AT2021ueyL,M V
AU Mic,M1 V
AU Mic,M1 V
AU Mic,M1 V
AU Mic,M1 V
BD+03 2562,K2
BD+05 4868 A,K V
BD+14 4559,K2 V
BD+15 2375,G5
BD+15 2940,K0
BD+20 2457,K2 II
BD+20 2457,K2 II
BD+20 274,K5 III
BD+20 594,G
BD+37 3172,K2
BD+42 2315,K0
BD+45 564,K1
BD+48 738,K0 III
BD+48 740,K3 III
BD+49 828,K0
BD+55 362,K3
BD+60 1417,K0
BD+63 1405,K0
BD-06 1339,K7/M0 V
BD-06 1339,K7/M0 V
BD-08 2823,K3 V
BD-08 2823,K3 V
BD-10 3166,K0 V
BD-11 4672,K7V
BD-11 4672,K7V
BD-13 2130,G5 IV/V
BD-14 3065 A,
BD-17 63,K5 V
BD-210397,K7 V
BD-210397,K7 V
BEBOP-3,G5
BEBOP-4 A,G3 V
Barnard's star,M3.5-4 V
Barnard's star,M3.5-4 V
Barnard's star,M3.5-4 V
Barnard's star,M3.5-4 V
CD Cet,M5.0 V
CD-35 2722,M1 V
CFBDSIR J145829+101343,T8+Y0
CFHTWIR-Oph 98 A,M9-L1
CHXR 73,M3.5
CI Tau,K7
COCONUTS-2 A,M3 V
CT Cha,K5e
CoRoT-1,G0 V
CoRoT-10,K1 V
CoRoT-11,F6 V
CoRoT-12,G2V
CoRoT-13,G0 V
CoRoT-14,F9 V
CoRoT-16,G5 V
CoRoT-17,G2 V
CoRoT-18,G9 V
CoRoT-19,F9 V
CoRoT-2,G7V+K9V
CoRoT-20,G2 V
CoRoT-20,G2 V
CoRoT-21,F8 IV
CoRoT-22,G3 V
CoRoT-23,G0 V
CoRoT-24,K1 V
CoRoT-24,K1 V
CoRoT-25,F9
CoRoT-26,G5
CoRoT-27,G2
CoRoT-28,G8/9 IV
CoRoT-29,K0 V
CoRoT-3,F3 V
CoRoT-30,G3 V
CoRoT-31,G2 IV
CoRoT-32,G0 VI
CoRoT-35,F6 V
CoRoT-36,F3 V
CoRoT-4,F0V
CoRoT-5,F9 V
CoRoT-6,F9 V
CoRoT-7,G9 V
CoRoT-7,G9 V
CoRoT-7,G9 V
CoRoT-8,K1 V
CoRoT-9,G3 V
DE CVn,M3V+DA
DENIS-P J082303.1-491201,L1.5
DH Tau,M0.5
DMPP-1,F8 V
DMPP-1,F8 V
DMPP-1,F8 V
DMPP-1,F8 V
DMPP-2,F5 V
DMPP-2,F5 V
DMPP-2,F5 V
DMPP-3 A,K0 V
DMPP-4,F5-F8 V
DMPP-6,
DMPP-6,
DMPP-7,G1 V
DMPP-8,
DMPP-9,
DP Leo,
DS Tuc A,G6 V
EPIC 201170410,
EPIC 201238110,
EPIC 201427007,
EPIC 201497682,K5
EPIC 201595106,
K2-166,G0
K2-16,K3 V
EPIC 201757695,
K2-50,K5V
EPIC 201841433,K3
K2-168,
EPIC 206024342,
EPIC 206024342,
EPIC 206024342,
EPIC 206032309,M2V
EPIC 206042996,K5V
EPIC 206042996,K5V
EPIC 206215704,M4V
EPIC 206317286,K1V
EPIC 206317286,K1V
EPIC 211822797,M0
EPIC 211945201,G0
EPIC 212297394,
EPIC 212297394,
EPIC 212424622,
EPIC 212499991,
EPIC 212587672,
EPIC 212587672,
EPIC 212624936,
EPIC 212624936,
EPIC 212737443,K3
EPIC 212737443,K3
EPIC 220492298,
K2-282,G8
EPIC 220674823,G5 V
EPIC 220674823,G5 V
EPIC 228836835,
EPIC 229004835,
EPIC 246851721,F5 V
EPIC 248847494,G9
EPIC 249893012,G8 IV/V
EPIC 249893012,G8 IV/V
EPIC 249893012,G8 IV/V
FU Tau,M7.25
G 192-15,M5.0 V
G 192-15,M5.0 V
G 196-3,M3.0V
G 261-6,M5.5 V
G 264-012,M4.0 V
G 264-012,M4.0 V
G 268-110,M5.0 V
G 9-40,M2.5 V
GJ 1002,M5.5 V
GJ 1002,M5.5 V
GJ 1061,M5.5 V
GJ 1061,M5.5 V
GJ 1061,M5.5 V
GJ 1132,M4.5 V
GJ 1132,M4.5 V
GJ 1148,M5
GJ 1148,M5
GJ 1151,M 4.5V
GJ 1214,M4 V
GJ 1252,M3
GJ 1265,M4.5 V
GJ 1289,M4.5 Ve
GJ 143,K4.5
GJ 15 A,M1
GJ 15 A,M1
GJ 160.2,M0 V
GJ 163,M
GJ 163,M
GJ 163,M
GJ 179,M3.5 V
GJ 180,M3
GJ 180,M3
GJ 180,M3
GJ 2030,G5/6V
GJ 2030,G5/6V
GJ 2056,M0V:
GJ 2126,M0 V
GJ 229,M1.5V
GJ 229,M1.5V
GJ 238,M2.5 V
GJ 251,M3.0 V
GJ 251,M3.0 V
GJ 27.1,M0.5 V
GJ 273,M3.5
GJ 273,M3.5
GJ 3021,G6 V
GJ 3082,M4
GJ 3090,M2 V
GJ 3090,M2 V
GJ 3138,M0
GJ 3138,M0
GJ 3138,M0
GJ 317,M3.5 V
GJ 317,M3.5 V
GJ 3222,K0V
GJ 328,M0.0
GJ 328,M0.0
GJ 3293,M2.5
GJ 3293,M2.5
GJ 3293,M2.5
GJ 3293,M2.5
GJ 3323,M4
GJ 3323,M4
GJ 3341,M2.5
GJ 338 B,M0 V
GJ 341,M1
GJ 3470,M1.5
GJ 3473,M4
GJ 3473,M4
GJ 3512,M5.5 V
GJ 3512,M5.5 V
GJ 357,M2.5 V
GJ 357,M2.5 V
GJ 357,M2.5 V
GJ 3634,M2.5
GJ 367,M1.0 V
GJ 367,M1.0 V
GJ 367,M1.0 V
GJ 3779,M4.0 V
GJ 3929,M3.5 V
GJ 3929,M3.5 V
GJ 393,M2.0 V
GJ 3942,M0
GJ 3988,M4.5 V
GJ 3998,M1
GJ 3998,M1
GJ 3998,M1
GJ 411,M1.5 V
GJ 414 A,K7 V
GJ 414 A,K7 V
GJ 422,M3.5 V
GJ 4274,M4.5 V
GJ 4274,M4.5 V
GJ 4276,M4.0
GJ 433,M2V
GJ 433,M2V
GJ 433,M2V
GJ 436,M2.5 V
GJ 463,M3.0 V
GJ 480,M3.5 Ve
GJ 486,M3.5 V
GJ 504,G0 V
GJ 508.2,M1.0 V
GJ 514,M0.5-1.0 V
GJ 536,M1 V
GJ 536,M1 V
GJ 581,M3.0 V
GJ 581,M3.0 V
GJ 581,M3.0 V
GJ 625,M2
GJ 649,M1.0
GJ 667 C,M1.5 V
GJ 667 C,M1.5 V
GJ 667 C,M1.5 V
GJ 667 C,M1.5 V
GJ 667 C,M1.5 V
GJ 674,M2.5
GJ 676 A,M0
GJ 676 A,M0
GJ 676 A,M0
GJ 676 A,M0
GJ 680,K5
GJ 682,M3.5 V
GJ 682,M3.5 V
GJ 685,M0.5
GJ 687,M3.0V
GJ 687,M3.0V
GJ 720 A,M0.5 V
GJ 724,M1.0 V
GJ 740,M1.0 V
GJ 806,M1.5 V
GJ 806,M1.5 V
GJ 832,M2/3 V
GJ 849,M3.5
GJ 849,M3.5
GJ 86,K1V
GJ 876,M2.5V
GJ 876,M2.5V
GJ 876,M2.5V
GJ 876,M2.5V
GJ 887,M1 V
GJ 887,M1 V
GJ 887,M1 V
GJ 887,M1 V
GJ 896 A,M3.5 V
GJ 900 A,K7
GJ 9066,M5.0 V
GJ 9404,M2V
GJ 96,M2
GJ 9689,M0.5
GJ 9714,K5V
GJ 9773,M3.0 V
GJ 9827,K7 V
GJ 9827,K7 V
GJ 9827,K7 V
GPX-1,F2
GQ Lup,K7e V
GSC 06214-00210,K7
GU Psc,M3
Gaia-1,
Gaia-2,
Gaia-4,M1.3
Gaia-5,
Gaia22dkvL,
Gl 378,M1
Gl 410,K
Gl 49,M1.5 V
Gl 686,M1.0 V
Gl 725 A,M3
Gliese 12,M3.0 V
HAT-P-1,G0 V
HAT-P-11,K4
HAT-P-11,K4
HAT-P-12,K4
HAT-P-13,G4
HAT-P-13,G4
HAT-P-14,F5 V
HAT-P-15,G5
HAT-P-16,F8
HAT-P-17,K
HAT-P-17,K
HAT-P-18,K2
HAT-P-19,K1
HAT-P-2,F8
HAT-P-2,F8
HAT-P-20,K3
HAT-P-21,G3
HAT-P-22,G5 V
HAT-P-23,G0
HAT-P-24,F8
HAT-P-25,G5
HAT-P-26,K1
HAT-P-27,G8
HAT-P-28,G3
HAT-P-29,F8
HAT-P-3,K1
HAT-P-30,F7
HAT-P-31,
HAT-P-32,
HAT-P-33,F4
HAT-P-34,F8
HAT-P-35,
HAT-P-36,G5 V
HAT-P-37,
HAT-P-38,G5
HAT-P-39,F4
HAT-P-4,F
HAT-P-40,
HAT-P-41,
HAT-P-42,
HAT-P-43,F9
HAT-P-44,
HAT-P-44,
HAT-P-45,F5
HAT-P-46,
HAT-P-49,F3
HAT-P-5,G
HAT-P-50,F5
HAT-P-51,G7
HAT-P-52,K1
HAT-P-53,
HAT-P-54,K7
HAT-P-55,G2
HAT-P-56,F8
HAT-P-57,A8 V
HAT-P-58,
HAT-P-59,
HAT-P-6,F8V
HAT-P-60,
HAT-P-61,
HAT-P-62,
HAT-P-63,
HAT-P-64,
HAT-P-65,G2
HAT-P-66,G0
HAT-P-67,F5
HAT-P-68,K
HAT-P-69,A7V(Sr)
HAT-P-7,F6 V
HAT-P-70,
HAT-P-8,F6
HAT-P-9,F7
HATS-1,
HATS-10,
HATS-11,G0
HATS-12,F
